,Source Port,Destination Port,Packet Length,Packet Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Signature,Month_of_received,hour_of_the_day,day_of_the_week,is_weekend,Is_Private,protocol_ICMP,protocol_TCP,protocol_UDP,traffic_DNS,traffic_FTP,traffic_HTTP,Attack_Type_DDoS,Attack_Type_Intrusion,Attack_Type_Malware,Severity_High,Severity_Low,Severity_Medium,Segments_Segment A,Segments_Segment B,Segments_Segment C
24,39911,27107,1386,0,1,67.43,1,1,10,6,4,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
25,23021,31279,433,0,0,89.86,0,1,10,2,4,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
26,32552,15521,531,0,0,87.23,1,1,1,3,6,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
27,56607,33023,282,0,1,44.4,0,1,8,9,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
28,64351,43307,1487,0,1,45.42,1,0,5,15,5,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
29,19954,11594,563,0,1,25.7,1,0,5,18,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
30,63062,49527,1313,0,1,69.2,0,0,8,19,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
31,39208,61136,350,0,0,77.06,0,1,1,12,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
32,12932,47900,373,1,1,3.87,0,1,10,19,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
33,11482,16459,1155,0,0,25.93,0,1,6,18,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
34,18768,8138,521,1,1,60.57,0,0,7,8,2,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
35,41615,15184,1346,1,1,67.73,1,1,9,19,5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
36,34512,40467,1311,0,1,75.16,1,0,5,3,6,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
37,28975,5960,117,0,0,75.46,0,0,6,20,5,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
38,46111,15554,1271,0,0,49.03,0,0,12,23,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
39,5032,1068,308,0,0,85.28,0,1,3,7,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
40,58316,54095,545,1,0,6.44,1,0,2,16,5,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
41,26896,45972,572,0,0,22.17,1,0,5,16,6,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
42,1031,40417,1474,0,1,29.66,1,0,12,8,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
43,57124,48417,1363,1,1,10.75,0,1,7,20,3,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
44,32979,3852,443,1,0,42.14,0,0,6,5,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
45,59738,44531,1026,1,0,77.73,1,0,4,18,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
46,25022,6593,554,0,1,97.82,0,0,5,13,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
47,10584,23178,649,1,1,83.36,0,1,10,4,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
48,23934,57206,1378,0,1,40.71,1,1,8,14,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
49,57819,10509,107,1,0,1.33,0,0,5,4,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
50,49005,19289,317,1,1,56.92,1,1,1,1,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
51,56497,23998,875,1,1,0.9,1,0,4,12,4,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
52,32348,12619,576,1,0,77.7,1,1,4,14,3,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
53,23870,21385,619,1,1,67.56,0,0,2,6,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
54,46895,63852,1224,1,1,91.82,0,1,12,2,6,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
55,11468,31398,632,1,0,50.13,1,1,8,7,5,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
56,30954,3615,670,0,0,41.53,1,0,5,4,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
57,59009,28541,88,1,0,91.21,1,0,1,11,6,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
58,38169,9878,1497,0,0,82.8,0,0,3,9,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
59,35384,2184,304,1,0,78.85,1,1,1,19,6,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
60,22371,4914,1001,1,1,50.69,0,1,10,21,4,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
61,10510,4024,1352,1,1,75.3,1,1,8,19,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
62,57482,1091,548,1,0,33.08,1,0,8,2,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
63,7703,19110,1114,1,0,7.27,0,1,3,4,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
64,33992,31136,149,1,1,76.68,0,0,11,17,6,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
65,55666,4791,548,1,1,36.22,0,0,11,22,3,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
66,20947,24568,1106,0,1,13.36,0,1,1,9,5,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
67,38322,33655,1290,0,1,69.01,1,0,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
68,15973,29809,190,1,1,4.74,0,0,2,5,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
69,5107,60905,995,0,0,51.66,0,1,9,1,6,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
70,15067,58291,1342,0,1,83.86,0,1,12,7,6,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
71,18782,24516,722,1,0,79.61,0,1,1,22,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
72,44364,53766,1181,0,0,14.95,0,0,5,17,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
73,11307,36569,907,0,0,12.1,1,0,6,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
74,62568,27834,1427,1,1,3.33,1,1,7,3,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
75,16019,14834,793,0,1,18.93,0,1,3,7,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
76,54052,10368,686,0,0,96.83,1,1,3,20,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
77,40014,9720,1092,1,0,82.75,0,1,7,19,4,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
78,55034,52843,492,1,0,88.16,0,0,12,22,6,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
79,31548,18263,811,1,1,45.33,1,0,4,15,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
80,14156,14806,1444,0,1,91.08,1,1,4,21,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
81,7828,38216,423,0,0,45.27,0,0,6,6,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
82,53318,29162,744,1,1,51.59,1,0,7,5,6,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
83,15743,33364,173,0,1,73.69,0,1,12,16,3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
84,27274,28937,340,1,0,27.25,0,1,9,2,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
85,13393,3334,1082,0,0,81.43,0,1,1,9,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
86,35332,61817,876,0,0,89.28,1,1,4,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
87,47821,52974,1319,1,1,43.95,1,1,9,7,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
88,4384,31482,976,1,1,1.31,0,1,8,9,6,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
89,27807,53451,985,0,0,98.14,0,0,11,4,6,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
90,39737,17067,902,1,1,84.95,1,1,3,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
91,16224,48472,889,0,1,14.56,1,0,8,23,5,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
92,31907,51180,1492,1,0,31.8,1,0,3,14,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
93,26586,17971,787,0,1,3.7,0,0,2,19,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
94,25179,13739,1070,0,0,97.64,1,0,10,4,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
95,47513,9156,1455,0,1,58.19,0,1,11,20,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
96,12215,50585,640,0,0,10.44,0,1,12,11,4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
97,19199,27928,1178,1,1,5.39,0,0,10,4,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
98,26123,7023,158,1,1,91.79,1,1,4,20,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
99,22345,60531,1409,1,1,70.26,0,0,3,23,3,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
100,55305,60529,866,0,0,86.55,1,1,11,14,3,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
101,48262,22039,343,1,1,11.11,1,0,3,19,4,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
102,22623,16469,531,1,0,71.02,1,0,11,13,6,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
103,28872,35773,1387,0,0,51.68,1,0,4,9,6,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
104,33910,47951,715,0,0,43.23,1,1,12,14,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
105,42864,48696,765,0,1,47.31,0,1,10,5,6,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
106,52040,21434,646,1,0,77.67,1,0,10,14,6,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
107,48973,47133,1142,0,1,20.66,0,0,7,17,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
108,8137,20031,1005,0,1,90.92,0,1,7,14,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
109,55509,5152,984,1,0,64.89,1,1,6,23,5,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
110,41801,19629,512,1,1,77.07,0,1,8,9,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
111,62889,50054,1191,1,1,53.38,1,1,10,0,6,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
112,45613,2799,527,0,0,22.74,1,1,6,4,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
113,59752,42693,1388,0,0,81.87,1,0,1,15,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
114,51523,35455,425,0,0,98.62,1,1,8,16,5,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
115,13158,15042,491,0,0,14.41,1,0,8,7,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
116,18221,25776,668,0,1,41.28,0,0,3,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0
117,23041,49310,1127,1,0,36.28,1,0,1,2,6,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
118,62891,50690,1292,0,1,61.3,0,1,10,4,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
119,2887,60489,1026,1,1,36.95,0,1,7,6,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
120,40397,45649,712,0,1,55.44,0,0,3,5,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
121,54438,5822,1310,1,0,69.73,1,1,12,10,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
122,20302,11700,1409,1,1,2.88,1,1,8,13,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
123,33051,29949,939,1,1,23.53,0,0,12,6,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
124,39597,14517,361,0,0,97.16,0,0,6,0,2,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
125,58860,54145,723,0,0,32.02,1,0,10,10,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
126,63422,60576,1409,1,1,2.26,0,0,5,9,6,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
127,16307,12755,354,0,0,10.59,0,1,4,14,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
128,30570,50212,876,0,1,4.38,0,1,7,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
129,25983,4283,254,1,0,75.09,1,1,8,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
130,58743,25449,1100,1,0,28.13,0,1,6,9,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
131,52181,46157,574,1,0,26.7,0,1,10,19,6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
132,7193,39284,167,0,0,98.88,1,1,3,16,4,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
133,13042,10486,814,0,1,81.92,1,1,2,22,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
134,29637,50534,121,1,0,31.48,1,1,10,14,3,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
135,65102,45442,863,0,1,60.18,1,0,6,18,6,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
136,37151,12711,187,1,0,70.62,0,0,1,14,3,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
137,51862,11423,1347,1,0,81.66,0,1,7,12,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
138,54995,28483,709,0,0,70.34,0,1,9,16,4,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
139,42812,8453,591,0,1,1.19,1,1,8,15,6,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
140,16640,37110,1043,1,0,20.86,0,1,8,11,4,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
141,5626,53262,226,0,0,46.97,0,0,6,18,3,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
142,49851,27301,631,0,0,23.82,1,1,3,20,4,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
143,13197,54254,609,0,1,56.0,0,0,3,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
144,51264,36338,1132,1,1,15.8,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
145,63406,8837,941,1,1,51.0,1,0,1,18,5,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
146,46797,24409,525,1,0,28.61,0,0,6,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
147,1753,16107,706,0,1,68.84,1,0,4,1,3,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
148,59666,17863,1438,0,0,61.62,1,0,4,10,4,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
149,45243,43947,558,0,0,64.44,1,0,3,4,5,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
150,63488,7024,1485,1,1,11.94,0,0,6,9,4,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
151,26653,61828,1103,0,0,91.04,0,1,9,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
152,16791,13072,192,1,0,83.16,0,1,1,23,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
153,23731,61767,1307,1,0,52.98,0,0,4,15,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
154,21488,29508,882,0,0,20.25,0,0,3,4,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
155,13374,61256,1364,0,0,78.06,1,1,12,16,5,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
156,53218,46503,1368,1,1,0.12,1,0,6,11,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
157,15241,28035,418,1,1,87.11,1,0,6,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
158,6583,50994,878,0,0,13.21,1,0,3,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
159,1069,27287,1358,1,0,17.75,1,1,2,3,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
160,59250,54771,721,1,0,7.38,1,1,11,22,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
161,3816,53453,1084,0,1,53.02,1,1,12,17,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
162,63776,58671,399,0,0,53.91,0,0,3,11,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
163,31713,13845,980,1,1,27.15,0,0,6,2,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
164,57940,21434,1144,1,1,69.65,1,1,12,17,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
165,4033,47128,423,0,0,29.25,0,0,3,11,6,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
166,39822,55660,580,1,1,20.55,1,1,9,14,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
167,21364,7436,770,1,0,85.22,0,0,7,12,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
168,54091,17340,308,1,1,40.87,0,1,10,4,5,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
169,56288,33177,438,1,1,19.3,0,0,12,10,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
170,19944,51870,587,0,1,53.08,0,0,12,16,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
171,61939,60901,665,0,1,50.59,1,1,9,14,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
172,5617,22614,717,0,1,71.35,0,0,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
173,21202,63110,1407,0,1,88.21,1,0,10,22,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
174,6968,31173,1090,1,0,2.09,0,0,6,21,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
175,45151,33913,381,0,1,67.74,0,1,11,5,6,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
176,61227,23677,802,1,0,40.88,0,0,4,6,5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
177,9697,19057,574,1,1,68.95,1,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
178,10057,33783,1152,0,0,47.58,1,1,9,23,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
179,40356,33067,350,1,0,28.97,0,0,10,21,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
180,24450,40274,1240,1,1,8.21,1,0,9,9,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
181,9225,42698,591,1,0,12.55,1,1,6,3,5,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
182,8624,52609,497,0,0,14.2,0,1,3,11,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
183,4605,46797,185,0,0,42.76,0,1,4,0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1
184,40124,23142,72,1,0,6.09,1,1,10,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
185,47241,19795,363,1,0,0.19,1,1,3,4,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
186,31749,56290,305,0,1,59.04,1,0,4,3,5,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
187,39097,11281,1201,1,1,7.62,1,1,10,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
188,47361,25611,638,1,0,33.73,0,0,2,1,6,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
189,62568,43207,1428,1,1,23.75,1,1,4,6,5,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
190,64069,17764,863,0,1,81.2,1,1,8,14,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
191,47307,22903,283,1,0,43.69,1,1,2,5,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
192,49233,57114,556,0,1,71.76,1,1,3,13,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
193,28163,54197,482,0,1,93.61,1,0,9,13,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
194,44775,28188,1158,0,0,38.07,0,1,10,5,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
195,24411,28104,791,0,1,59.34,0,0,3,1,6,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
196,4226,25237,956,1,0,12.72,0,1,1,22,5,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
197,57999,55997,195,0,1,88.25,1,0,1,11,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
198,52233,37396,960,1,1,13.57,0,0,8,6,5,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
199,30658,5272,670,0,0,73.58,1,1,10,15,4,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
200,16161,30577,432,1,0,30.26,0,1,9,20,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
201,51950,27368,558,0,1,84.4,1,0,11,5,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
202,13125,15039,969,0,1,48.49,1,0,6,3,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
203,12234,19426,1089,1,1,76.24,1,1,1,0,4,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
204,29590,33277,992,0,0,41.04,1,0,4,13,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
205,3205,25333,1418,1,0,96.96,0,0,10,23,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
206,24743,13223,1483,0,0,63.6,1,0,7,16,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
207,7954,19350,1104,1,1,64.34,0,0,8,15,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
208,12945,23374,514,1,0,52.99,0,0,6,19,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
209,26735,50914,636,0,1,84.7,0,0,8,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
210,54492,43337,358,1,1,11.33,0,0,2,15,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
211,47759,5860,1061,0,1,4.59,0,0,5,2,5,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
212,12441,32298,107,0,1,56.53,0,0,5,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
213,7389,39326,911,1,0,77.28,0,0,12,16,6,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
214,24913,3631,1065,0,0,27.08,0,0,4,4,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
215,17262,5677,932,0,1,78.61,0,1,9,1,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
216,14923,43610,308,1,1,47.7,0,0,6,18,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
